observation_date,SanFrancisco_HPI,LosAngeles_HPI,Seattle_HPI,SanDiego_HPI,Chicago_HPI,Dallas_HPI,NewYork_HPI,Phoenix_HPI,Boston_HPI,Miami_HPI,Denver_HPI,Atlanta_HPI,LasVegas_HPI,Tampa_HPI,Portland_HPI,Washington_HPI,Charlotte_HPI,Detroit_HPI,Minneapolis_HPI,Cleveland_HPI
2007-06-01,207.96602690112496,261.322931379166,190.381253595261,229.909125294178,165.974120562077,124.933975234644,209.70682415291697,212.654069236052,169.706866979314,266.10640311774,136.823060815033,134.892005193088,222.13541095966497,219.441624897643,184.627761128157,232.446071105622,133.649692303269,111.474698452472,164.821305968471,117.143397865289
2007-07-01,205.566778582452,258.48896089521304,190.19865485206697,226.670018653512,164.64990306452,124.141586732048,207.77428211717,209.40873622333697,169.22893204614098,260.118725811832,136.956925273944,134.091714269977,219.112006700344,215.466083769256,184.206079114476,229.310055025704,133.678603565885,111.070774016342,162.85225424723998,116.750085297549
2007-08-01,204.516522092683,254.848823394732,189.57725746989496,223.58669406734,162.94006655564695,123.997184174492,205.371526805328,206.33128165814705,167.98661414215,253.96534945369496,136.834620357644,133.562776975885,214.882828635852,211.128259969926,183.4689591879,226.418235836273,133.864785475316,109.742731221705,161.250183762576,115.786571846966
2007-09-01,203.11570115135896,251.29956590406505,189.146505456152,219.802790702032,161.40050633090598,123.730151602584,204.866526222625,203.068799143516,168.040514009332,248.34723155216705,136.21576122387398,133.045723864529,211.05334498565892,207.49232094872505,183.254307872307,225.912519151432,133.68075666142,108.511889735233,159.817749351326,115.45925893306
2007-10-01,199.647767645886,247.00691290046905,187.87539193724297,215.38129760320305,160.3030981283,123.501797729301,203.95820039737305,198.026997447058,167.412346058572,243.026053874701,134.749846386329,132.670439866651,206.318579407308,204.737038722694,183.169253663726,225.43617187922905,133.495297866849,106.555060334661,158.514732988854,114.619143154573
2007-11-01,194.696134652276,239.233994749238,186.461028049567,209.108403235247,159.626892191634,122.411767113488,203.295047236574,192.427962283332,166.957874138825,236.415496226186,133.016711247983,131.362818404103,200.740378210154,202.05161355856296,182.584539537682,223.01785050737496,132.908421103607,104.166006948553,156.520572453097,112.897577651774
2007-12-01,189.994286816364,233.11464224149893,185.73318940066,203.471830033208,159.351209988069,121.788526877783,201.71848500409305,186.895009154594,165.528701060995,230.58478775460705,131.607560694776,130.442401792568,195.97307194913003,199.531965044796,182.63885099968496,219.237348720404,133.00761758730602,102.454256045548,154.501445967998,112.300150935093
2008-01-01,186.634333270906,226.111859618478,184.466288132436,199.937343227148,157.52849860473,120.579921331707,200.80340154849705,181.120201242825,164.753593526448,225.022115429232,130.93737162844,129.699139496688,186.867736560774,195.861005133892,181.085289011602,215.656586853143,133.241527470313,100.378481859651,152.050224123923,110.087743371453
2008-02-01,178.852040306293,217.77169369403904,183.54336988991,193.187192439693,155.969160636611,120.375191649887,199.440704391088,175.055360710954,163.531809781492,219.161962100489,130.258038977507,128.705621585245,178.606376230377,190.786278135397,179.638719104076,211.6734917182,133.482967839804,98.64476894890701,149.082669038068,109.648490346181
2008-03-01,172.566631595084,210.58087579691897,181.731198242364,188.043228528546,155.244414285203,121.463934440785,198.826855511805,169.708847390649,162.222515659086,210.775986087804,130.351561562838,127.495833119618,171.194109076891,185.194955622736,178.001909214268,207.68132819348097,133.222532105787,97.92395463678,146.962531472498,109.440025401695
2008-04-01,166.736708782768,205.10007520248297,180.76049997941,182.18422123247296,153.931430178668,121.476183805269,197.17536605174496,163.920726738771,160.953305263674,202.909584185845,130.19044592275,125.60183509701,167.256554858203,180.890840986132,177.005078672765,203.733654497964,132.77225236943198,96.268066392064,144.631476799114,111.27215772925
