Region, rmse, r2
Seoul,37.95395963213605,-7.47445011138916
Busan,19.311092782216114,-5.602061748504639
Daegu,10.833433845249369,0.26107609272003174
Incheon,23.00889349115902,-1.968801498413086
Gwangju,20.701657524642275,-6.592991352081299
Daejeon,31.488906117807485,-9.884410858154297
Ulsan,14.806875971986956,-8.96837043762207
Sejong,30.656543664177047,-1.9423153400421143
Gyeonggi,40.00401896313825,-8.008264541625977
Gangwon,16.87852610729644,-7.116445541381836
Chungbuk,14.627325932665537,-7.063835144042969
Chungnam,15.174837084528855,-9.806530952453613
Jeonbuk,14.659125788124962,-6.567041397094727
Jeonnam,4.604624016372381,-0.7605780363082886
Gyeongbuk,7.888032332410184,-5.060513973236084
Gyeongnam,10.190894561824043,-6.352244853973389
Jeju,17.43163263742814,-11.079115867614746
