Region, rmse, r2
Seoul,37.51950501853586,-7.281548500061035
Busan,17.858204453656413,-4.646007537841797
Daegu,11.04305580085958,0.23220378160476685
Incheon,26.237214380666085,-2.8603365421295166
Gwangju,15.791163829893573,-3.418053150177002
Daejeon,34.45612763276385,-12.0323486328125
Ulsan,10.509322977518618,-4.021653652191162
Sejong,27.398249259761105,-1.350111484527588
Gyeonggi,40.346273400944355,-8.163064002990723
Gangwon,14.194713758355277,-4.740505218505859
Chungbuk,14.375266429256516,-6.788315773010254
Chungnam,11.828074043194398,-5.56547737121582
Jeonbuk,15.077254670477563,-7.004874229431152
Jeonnam,6.518404799891911,-2.5281708240509033
Gyeongbuk,6.30632064069005,-2.8736841678619385
Gyeongnam,7.963261887347082,-3.4892868995666504
Jeju,9.696330322153253,-2.737436294555664
