Region, rmse, r2
Seoul,5.704273014270783,0.8718752861022949
Busan,2.988269761007326,0.9081792831420898
Daegu,2.4717685256962882,0.9723455905914307
Incheon,9.009093459034226,0.91008061170578
Gwangju,2.8503350111167887,0.8768234252929688
Daejeon,5.493670375971706,0.8767740726470947
Ulsan,2.7845781964997633,0.8493141531944275
Sejong,10.192143604746041,0.8873611092567444
Gyeonggi,11.130958247444273,0.9024529457092285
Gangwon,3.0225797318637655,0.8724195957183838
Chungbuk,2.7750180321184876,0.8395447134971619
Chungnam,3.618382036281664,0.847393810749054
Jeonbuk,3.4281811719133133,0.8199540972709656
Jeonnam,2.6773630631849192,0.7375820875167847
Gyeongbuk,2.189417189644326,0.8029370307922363
Gyeongnam,1.9874128982363408,0.867393434047699
Jeju,2.970081713287693,0.4939180016517639
