Region, rmse, r2
Seoul,9.679538137593596,0.4488033056259155
Busan,5.231212788111097,0.5155258178710938
Daegu,5.86463078083835,0.7834547162055969
Incheon,9.443965490825056,0.4998520612716675
Gwangju,5.318020633664654,0.49892503023147583
Daejeon,6.71411256653866,0.505157470703125
Ulsan,3.7488294681929446,0.36101794242858887
Sejong,9.18704949137282,0.7357621788978577
Gyeonggi,10.079827784323554,0.4280737042427063
Gangwon,3.427565489518256,0.6652902364730835
Chungbuk,3.6582213735863585,0.49562710523605347
Chungnam,3.3765256753490718,0.4649697542190552
Jeonbuk,3.761914970057585,0.5016574859619141
Jeonnam,2.323879287677195,0.5515706539154053
Gyeongbuk,2.879961459643723,0.19212263822555542
Gyeongnam,2.910789308241436,0.40018558502197266
Jeju,3.656748811001414,0.46844369173049927
