Region, rmse, r2
Seoul,9.82690344467855,0.4318922162055969
Busan,5.302865301100088,0.5021631121635437
Daegu,5.903569980891826,0.7805695533752441
Incheon,9.62202387784708,0.48081451654434204
Gwangju,5.3993904829415955,0.48347407579421997
Daejeon,6.833809099459929,0.4873564839363098
Ulsan,3.8015783244539376,0.3429095149040222
Sejong,9.317876914844675,0.7281829118728638
Gyeonggi,10.270508880339515,0.406230628490448
Gangwon,3.530453077206789,0.6448942422866821
Chungbuk,3.7529286710413663,0.46917372941970825
Chungnam,3.443462541217214,0.4435464143753052
Jeonbuk,3.8462569582395494,0.4790613651275635
Jeonnam,2.303035959000312,0.5595786571502686
Gyeongbuk,2.9357000477233086,0.1605488657951355
Gyeongnam,2.9526108390036034,0.3828257918357849
Jeju,3.698084753093749,0.4563583731651306
