Region, rmse, r2
Seoul,7.425037874581169,0.6756643056869507
Busan,3.6503959806759134,0.7640902996063232
Daegu,3.315024799236902,0.9308103919029236
Incheon,5.892485873594252,0.8052906394004822
Gwangju,3.690955014376612,0.758631706237793
Daejeon,4.201157800853924,0.8062562346458435
Ulsan,2.825721773423916,0.636958658695221
Sejong,6.918004867829912,0.850167989730835
Gyeonggi,6.433282452054328,0.7670304775238037
Gangwon,2.5410385189447133,0.8160417079925537
Chungbuk,2.397344085269674,0.7833930253982544
Chungnam,2.41789065529177,0.7256458401679993
Jeonbuk,2.675533801143845,0.7479243278503418
Jeonnam,2.04909715077172,0.6513481140136719
Gyeongbuk,2.122521806656569,0.561190128326416
Gyeongnam,2.1338231413540067,0.6776615381240845
Jeju,3.6339419342255925,0.475053608417511
