Seoul,7.527734466215427,0.6666304469108582
Busan,4.076578716744407,0.7057899236679077
Daegu,4.018227769015406,0.8983431458473206
Incheon,6.6878519411262225,0.749179482460022
Gwangju,4.7460425103329715,0.6009145379066467
Daejeon,7.490744920263219,0.38405805826187134
Ulsan,3.8500125389390347,0.3260594606399536
Sejong,8.72498779296021,0.7616734504699707
Gyeonggi,7.8927240884486105,0.6493388414382935
Gangwon,3.0341089668295065,0.7377235889434814
Chungbuk,2.9434107299455663,0.6734771728515625
Chungnam,2.987742975162409,0.5810861587524414
Jeonbuk,3.2567280306805344,0.6265151500701904
Jeonnam,2.1416263883293745,0.6191496849060059
Gyeongbuk,2.164430552559219,0.5436906218528748
Gyeongnam,2.3313487218658553,0.6152223348617554
Jeju,3.724019780574593,0.44870638847351074
