Region, rmse, r2
Seoul,12.39347123579431,0.36816781759262085
Busan,4.588809516123823,0.7735706567764282
Daegu,3.9140449569217632,0.929787814617157
Incheon,13.63166408128516,0.7997655868530273
Gwangju,4.1600067828196465,0.7518048882484436
Daejeon,7.365368518401862,0.7713260650634766
Ulsan,4.074653638852182,0.6627758145332336
Sejong,22.432174518162103,0.4757651090621948
Gyeonggi,17.126217095778003,0.7747018337249756
Gangwon,4.418219575246107,0.8072189092636108
Chungbuk,3.8766869595347213,0.7825719118118286
Chungnam,5.118184465739956,0.7297369241714478
Jeonbuk,4.698746071600991,0.7240839004516602
Jeonnam,2.77270730305628,0.7081173062324524
Gyeongbuk,3.5028883051814055,0.5792063474655151
Gyeongnam,3.1188160554851034,0.6957467198371887
Jeju,3.618093817848821,0.4796223044395447
