Seoul,10.448538602280218,0.37022578716278076,60.976
Busan,3.0537738653273987,0.838361918926239,60.976
Daegu,3.040311189083256,0.942518413066864,63.415
Incheon,5.862525520187824,0.8035046458244324,60.976
Gwangju,3.7066165221776677,0.7488681077957153,68.293
Daejeon,4.567342826924341,0.7735399603843689,58.537
Ulsan,2.3259458648272915,0.7589119076728821,51.22
Sejong,13.150203665544975,0.45151132345199585,63.415
Gyeonggi,6.099613127400382,0.7859299182891846,56.098
Gangwon,2.515146245477371,0.7837569117546082,70.732
Chungbuk,2.336656440661697,0.7539252042770386,58.537
Chungnam,2.3316551940432126,0.7272632718086243,63.415
Jeonbuk,2.7259537418943847,0.7102304100990295,58.537
Jeonnam,1.9269520757839733,0.6968015432357788,56.098
Gyeongbuk,1.7025351246530833,0.6867678165435791,48.78
Gyeongnam,1.8284002895607863,0.7530133128166199,58.537
Jeju,3.544571048411405,0.41708827018737793,46.341
